Diva, Average Height, Lean, Round Face, Olive Skin, Silver Hair, Green Eyes, Short Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Sleek Waves, soft breasts, Hoop earrings, grape sheer lipstick,  inside ((  wearing  Golf pants and golf polo )), Dystopian metropolis
Maven, Short, Firm, Heart-Shaped Face, Olive Skin, Black Hair, jade Eyes, Straight Nose, Pouty Lips, Sharp Chin, Long Hair, Coarse Hair, Side Bangs, soft breasts, Cuff earrings, violet satin lipstick,  inside ((  wearing  Soccer shorts and soccer jersey )), Frozen tundra with icy mountains
Superwoman, Average Height, Fit, Heart-Shaped Face, Olive Skin, White Hair, Amber Eyes, [[Curved Nose]], Thin Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Straight Updo, round breasts, Faux gauge earrings, teal cream lipstick,  inside ((  wearing  Running shorts and tank top )), Jungle planet filled with dangerous creatures
Enchantress, Average Height, Lean, Heart-Shaped Face, Olive Skin, Light Brown Hair, teal Eyes, Wide Nose, Thick Lips, Prominent Chin, Long Hair, Coarse Hair, Low Updo, saggy breasts, Stud earrings, hot pink satin lipstick,  inside ((  wearing  Softball shorts and softball jersey )), Desolate lunar surface
Diva, Short, Wide Hips, Triangular Face, Tan Skin, Gray Hair, coral Eyes, Wide Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Wavy Bob, full breasts, Threader earrings, red cream lipstick,  inside ((  wearing  leggings and tank top )), Jungle planet filled with dangerous creatures
Luminary, Short, Firm, Heart-Shaped Face, Fair Skin, Brunette Hair, light blue Eyes, Straight Nose, Pouty Lips, Round Chin, Long Hair, Wavy Hair, Braided Crown, soft breasts, Stud earrings, rose sheer lipstick,  inside ((  wearing  Basketball shorts tank top and basketball jersey )), Frozen tundra with icy mountains
Songstress, Average Height, Toned, Triangular Face, Tan Skin, Light Brown Hair, Hazel Eyes with Green Flecks, [[Curved Nose]], Full Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Half Up Half Down, perky breasts, Dangle earrings, burgundy metallic lipstick,  inside ((  wearing  Weightlifting leggings and weightlifting tank )), Frozen tundra with icy mountains
Charmer, Short, Skinny, Heart-Shaped Face, Olive Skin, White Hair, amber Eyes, Long Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Loose Curls, natural breasts, Dangle earrings, plum cream lipstick,  inside ((  wearing  Compression shorts tank top and running jacket )), Giant space station
Heiress, Tall, Thin, Triangular Face, Olive Skin, Honey Blonde Hair, green Eyes, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Straight Bob with Layers, natural breasts, Clip-on earrings, grape metallic lipstick,  inside ((  wearing  Surfing wetsuit )), Alien planet with bioluminescent flora
Charmer, Short, Slim, Oval Face, Fair Skin, Gray Hair, coral Eyes, Straight Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Side-Swept Bangs, augmented breasts, Hoop earrings, berry sheer lipstick,  inside ((  wearing  Sufring shorts and wetsuit top )), Frozen tundra with icy mountains
Female Viking, Short, Wide Hips, Round Face, Dark Skin, Light Brown Hair, Brown Eyes with Green Flecks, Wide Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Smooth Waves, full breasts, Drop earrings, rose velvet lipstick,  inside ((  wearing  Golf skirt golf polo and visorRacerback sports bra running shorts and lightweight tank top )), Post-apocalyptic wasteland
Sensation, Short, Lean, Triangular Face, Tan Skin, Honey Blonde Hair, purple Eyes, [[Curved Nose]], Thin Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Formal Updo, full breasts, Faux gauge earrings, violet sheer lipstick,  inside ((  wearing  Climbing pants and climbing tank top )), Alien planet with bioluminescent flora
Mistress, Short, in shape, Round Face, Fair Skin, Gray Hair, green Eyes, Short Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Blunt Cut Bangs, firm breasts, Faux gauge earrings, soft pink satin lipstick,  inside ((  wearing  Capri leggings and racerback tank top )), Barren desert planet
Vixen, Average Height, Fit, Oval Face, Dark Skin, Silver Hair, Blue Eyes with Green Flecks, Long Nose, Full Lips, Sharp Chin, Long Hair, Curly Hair, Viking Braid, small breasts, Drop earrings, brown matte lipstick,  inside ((  wearing  Bodysuit sweatpants and hoodie )), Dystopian metropolis
Escort, Average Height, Toned, Diamond-Shaped Face, Fair Skin, Platinum Blonde Hair, purple Eyes, Long Nose, Thick Lips, Receding Chin, Long Hair, Fine Hair, Shaggy Cut, augmented breasts, Clip-on earrings, black gloss lipstick,  inside ((  wearing  Cropped leggings and fitted T-shirt )), Barren desert planet
Mistress, Average Height, in shape, Square Face, Fair Skin, Platinum Blonde Hair, Amber Eyes, Short Nose, Thick Lips, Sharp Chin, Long Hair, Curly Hair, Curly Afro, saggy breasts, Drop earrings, cream stain lipstick,  inside ((  wearing  Athletic jumpsuit )), Barren desert planet
Superwoman, Average Height, Skinny, Round Face, Dark Skin, Golden Blonde Hair, peach Eyes, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Low Chignon, firm breasts, Faux gauge earrings, violet gloss lipstick,  inside ((  wearing  Slimfit tracksuit )), Giant space station
Baroness, Short, Skinny, Oval Face, Fair Skin, Dark Brown Hair, aquamarine Eyes, Narrow Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Fishbone Braid, perky breasts, , soft pink cream lipstick,  inside ((  wearing  Slimfit tracksuit )), Frozen tundra with icy mountains
Enchantress, Average Height, Narrow Hips, Oval Face, Tan Skin, Light Brown Hair, light blue Eyes, Straight Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Rope Braid, round breasts, Threader earrings, rose cream lipstick,  inside ((  wearing  Fitness tights and fitted T-shirt )), Alien planet with bioluminescent flora
Babe, Average Height, Slim, Triangular Face, Olive Skin, White Hair, pink Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Long Hair, Curly Hair, Bouncy Curls, small breasts, Clip-on earrings, lavender cream lipstick,  inside ((  wearing  Crossfit shorts and crossfit tank top )), Jungle planet filled with dangerous creatures
Madam, Average Height, Lean, Diamond-Shaped Face, Dark Skin, Strawberry Blonde Hair, gold Eyes, Short Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Long Curled Updo, small breasts, Hoop earrings, cherry metallic lipstick,  inside ((  wearing  Running tights and fitted t-shirt )), City floating in the clouds
Babe, Short, Slim, Square Face, Dark Skin, Auburn Hair, amethyst Eyes, Wide Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, High Ponytail, soft breasts, Cuff earrings, plum velvet lipstick,  inside ((  wearing  Sweatshirt and yoga shorts )), Jungle planet filled with dangerous creatures
Dame, Average Height, Wide Hips, Triangular Face, Tan Skin, White Hair, red Eyes, Narrow Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Sleek Straight Hair, perky breasts, Faux gauge earrings, orange cream lipstick,  inside ((  wearing  Gym shorts and muscle tank )), Jungle planet filled with dangerous creatures
Heiress, Short, Toned, Triangular Face, Dark Skin, Brunette Hair, light blue Eyes, Straight Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Braided Updo, saggy breasts, Faux gauge earrings, berry matte lipstick,  inside ((  wearing  Crossfit shorts and crossfit tank top )), Desolate lunar surface
Starlet, Short, Firm, Heart-Shaped Face, Fair Skin, Auburn Hair, Gray Eyes, Short Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Messy Top Knot, round breasts, Threader earrings, cherry matte lipstick,  inside ((  wearing  Snowboarding insulated pants and zip-up hoodie )), Dystopian metropolis
Visionary, Average Height, Narrow Hips, Oval Face, Tan Skin, White Hair, grey Eyes, Short Nose, Full Lips, Receding Chin, Long Hair, Wavy Hair, Shoulder-Length Curls, augmented breasts, Drop earrings, cream velvet lipstick,  inside ((  wearing  Hiking pants tank top and hiking jacket )), City floating in the clouds
Miss, Average Height, Toned, Square Face, Fair Skin, Chestnut Hair, turquoise Eyes, Straight Nose, Full Lips, Receding Chin, Long Hair, Curly Hair, Afro, perky breasts, Faux gauge earrings, peach cream lipstick,  inside ((  wearing  Weightlifting leggings and weightlifting tank )), Dystopian metropolis
Enchantress, Tall, Thin, Round Face, Fair Skin, Brunette Hair, turquoise Eyes, Straight Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Smooth Waves, natural breasts, Drop earrings, terracotta gloss lipstick,  inside ((  wearing  Sweatpants and sweatshirt )), Frozen tundra with icy mountains
Baroness, Average Height, Skinny, Diamond-Shaped Face, Dark Skin, Auburn Hair, Green Eyes, Long Nose, Thin Lips, Receding Chin, Long Hair, Straight Hair, Twisted Bun, augmented breasts, Huggie earrings, terracotta velvet lipstick,  inside ((  wearing  High-waisted leggings crop top and lightweight hoodie )), Post-apocalyptic wasteland
Lady, Tall, Skinny, Round Face, Tan Skin, Red Hair, amethyst Eyes, [[Curved Nose]], Thick Lips, Round Chin, Long Hair, Thick Hair, Curly Afro, augmented breasts, , pink gloss lipstick,  inside ((  wearing  Weightlifting leggings and weightlifting tank )), Alien planet with bioluminescent flora
Woman, Short, in shape, Square Face, Fair Skin, Dark Brown Hair, brown Eyes, Long Nose, Full Lips, Round Chin, Long Hair, Coarse Hair, Bouncy Curls, large breasts, Dangle earrings, beige cream lipstick,  inside ((  wearing  Volleyball shorts and volleyball tank top )), City floating in the clouds
Starlet, Short, Slim, Oval Face, Fair Skin, White Hair, coral Eyes, Wide Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Beach Waves, asymmetrical breasts, Stud earrings, gloss sheer lipstick,  inside ((  wearing  leggings and tank top )), Desolate lunar surface
Queen, Average Height, Lean, Triangular Face, Olive Skin, Golden Blonde Hair, Hazel Eyes, [[Curved Nose]], Full Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Rope Braid, perky breasts, Clip-on earrings, soft pink satin lipstick,  inside ((  wearing  Compression shorts tank top and running jacket )), Jungle planet filled with dangerous creatures
Queen, Average Height, Firm, Square Face, Tan Skin, Gray Hair, Brown Eyes with Green Flecks, Long Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Braided Half Up, round breasts, Stud earrings, magenta cream lipstick,  inside ((  wearing  Compression shorts tank top and running jacket )), Alien planet with bioluminescent flora
Siren, Tall, in shape, Round Face, Olive Skin, Strawberry Blonde Hair, green Eyes, Long Nose, Thick Lips, Sharp Chin, Long Hair, Straight Hair, Fishtail Braid, saggy breasts, Clip-on earrings, gloss metallic lipstick,  inside ((  wearing  Sufring shorts and wetsuit top )), City floating in the clouds
Woman, Tall, in shape, Square Face, Dark Skin, Gray Hair, Hazel Eyes, Long Nose, Thick Lips, Sharp Chin, Long Hair, Straight Hair, Side Bangs, saggy breasts, Cuff earrings, hot pink matte lipstick,  inside ((  wearing  Zumba pants and dance tank top )), City floating in the clouds
Diva, Tall, Athletic, Triangular Face, Tan Skin, Gray Hair, Hazel Eyes with Green Flecks, Short Nose, Full Lips, Prominent Chin, Long Hair, Fine Hair, Top Knot, round breasts, Cuff earrings, coral gloss lipstick,  inside ((  wearing  leggings and tank top )), Alien planet with bioluminescent flora
Artist, Tall, Fit, Triangular Face, Olive Skin, Honey Blonde Hair, Blue Eyes with Green Flecks, Long Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Updo, augmented breasts, Threader earrings, black metallic lipstick,  inside ((  wearing  Volleyball shorts and volleyball tank top )), Post-apocalyptic wasteland
Sensation, Short, Slim, Oval Face, Olive Skin, Golden Blonde Hair, amethyst Eyes, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Twisted Bun, perky breasts, , rose satin lipstick,  inside ((  wearing  Capri leggings and racerback tank top )), Desolate lunar surface
Woman, Short, Athletic, Oval Face, Olive Skin, Silver Hair, Hazel Eyes with Green Flecks, Narrow Nose, Thin Lips, Prominent Chin, Long Hair, Fine Hair, Loose Curls, perky breasts, Clip-on earrings, berry cream lipstick,  inside ((  wearing  Fitness tights and fitted T-shirt )), City floating in the clouds
Gal, Tall, Skinny, Square Face, Olive Skin, Dark Brown Hair, ruby Eyes, Wide Nose, Thin Lips, Round Chin, Long Hair, Straight Hair, Sleek Straight Hair, large breasts, Stud earrings, fuchsia velvet lipstick,  inside ((  wearing  Sufring shorts and wetsuit top )), Alien planet with bioluminescent flora
Belle, Short, Toned, Round Face, Dark Skin, Platinum Blonde Hair, Brown Eyes, Long Nose, Pouty Lips, Round Chin, Long Hair, Thick Hair, Stacked Bob, small breasts, Hoop earrings, cream matte lipstick,  inside ((  wearing  Sufring shorts and wetsuit top )), Desolate lunar surface
Empress, Short, Firm, Round Face, Olive Skin, Honey Blonde Hair, silver Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Long Hair, Thick Hair, Angled Bob, natural breasts, , fuchsia velvet lipstick,  inside ((  wearing  Compression shorts tank top and running jacket )), Desolate lunar surface
Enigma, Short, Skinny, Heart-Shaped Face, Dark Skin, Honey Blonde Hair, grey-blue Eyes, Narrow Nose, Thin Lips, Prominent Chin, Long Hair, Coarse Hair, Braided Headband, augmented breasts, Hoop earrings, golden matte lipstick,  inside ((  wearing  Cropped leggings and fitted T-shirt )), Desolate lunar surface
Miss, Tall, Firm, Heart-Shaped Face, Dark Skin, Honey Blonde Hair, Brown Eyes, Short Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Wavy Bob, asymmetrical breasts, Drop earrings, peach gloss lipstick,  inside ((  wearing  Golf pants and golf polo )), Post-apocalyptic wasteland
Miss, Short, Slim, Diamond-Shaped Face, Tan Skin, Black Hair, Hazel Eyes, Long Nose, Full Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Smooth Waves, round breasts, , burgundy cream lipstick,  inside ((  wearing  Sweatshirt and yoga shorts )), Dystopian metropolis
Escort, Tall, Toned, Heart-Shaped Face, Olive Skin, Red Hair, aquamarine Eyes, Straight Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, High Bun, augmented breasts, Faux gauge earrings, magenta cream lipstick,  inside ((  wearing  Running shorts and tank top )), Giant space station
Miss, Tall, Lean, Heart-Shaped Face, Fair Skin, White Hair, Gray Eyes, Straight Nose, Thin Lips, Round Chin, Long Hair, Fine Hair, Triple Braided Crown, firm breasts, Cuff earrings, beige satin lipstick,  inside ((  wearing  Capri leggings and racerback tank top )), Dystopian metropolis
Artist, Average Height, Lean, Diamond-Shaped Face, Dark Skin, Silver Hair, grey-blue Eyes, Wide Nose, Full Lips, Receding Chin, Long Hair, Coarse Hair, Bob with Bangs, natural breasts, Dangle earrings, coral gloss lipstick,  inside ((  wearing  Soccer shorts and soccer jersey )), Desolate lunar surface
Madam, Average Height, Skinny, Oval Face, Tan Skin, Blonde Hair, Brown Eyes with Green Flecks, Wide Nose, Thin Lips, Round Chin, Long Hair, Coarse Hair, Frohawk, natural breasts, Huggie earrings, burgundy satin lipstick,  inside ((  wearing  Weightlifting leggings and weightlifting tank )), Post-apocalyptic wasteland
Trailblazer, Average Height, Fit, Heart-Shaped Face, Tan Skin, Gray Hair, Gray Eyes, Wide Nose, Thick Lips, Sharp Chin, Long Hair, Wavy Hair, Blunt Bangs, small breasts, Huggie earrings, gloss matte lipstick,  inside ((  wearing  Gym shorts and muscle tank )), Underwater research facility
Mistress, Short, Athletic, Diamond-Shaped Face, Olive Skin, Black Hair, pink Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Long Hair, Fine Hair, Sleek Waves, augmented breasts, Stud earrings, golden velvet lipstick,  inside ((  wearing  Volleyball shorts and volleyball tank top )), Desolate lunar surface
Duchess, Average Height, Lean, Square Face, Olive Skin, Dark Brown Hair, gold Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, High Bun, full breasts, Faux gauge earrings, cherry matte lipstick,  inside ((  wearing  Volleyball shorts and volleyball tank top )), City floating in the clouds
Seductress, Short, Toned, Triangular Face, Tan Skin, Dark Brown Hair, light blue Eyes, Narrow Nose, Pouty Lips, Receding Chin, Long Hair, Wavy Hair, Double Braided Crown, full breasts, Cuff earrings, brown metallic lipstick,  inside ((  wearing  Surfing wetsuit )), Frozen tundra with icy mountains
Sensation, Short, Narrow Hips, Heart-Shaped Face, Olive Skin, Auburn Hair, Sapphire Eyes, Wide Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, French Roll, small breasts, Dangle earrings, burgundy cream lipstick,  inside ((  wearing  Crossfit shorts and crossfit tank top )), Giant space station
Enigma, Short, in shape, Heart-Shaped Face, Fair Skin, Silver Hair, Brown Eyes, Narrow Nose, Full Lips, Sharp Chin, Long Hair, Wavy Hair, Braided Headband, firm breasts, Hoop earrings, cherry stain lipstick,  inside ((  wearing  Pilates pants and fitted long-sleeve top )), Giant space station
Female Warrior, Average Height, Lean, Triangular Face, Tan Skin, Silver Hair, black Eyes, Long Nose, Full Lips, Round Chin, Long Hair, Straight Hair, Herringbone Braid, natural breasts, Dangle earrings, magenta satin lipstick,  inside ((  wearing  Bodysuit sweatpants and hoodie )), Giant space station
