Gold, bib necklace, Superwoman, Average Height, Narrow Hips, Oval Face, Fair Skin, Dark Brown Hair, light blue Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Voluminous Waves, full breasts, Drop earrings, teal sheer lipstick, Yellow Lace Halter Bralette and Thong Set
Beryllium, brooch pin, Sensation, Short, Wide Hips, Heart-Shaped Face, Fair Skin, Silver Hair, grey-blue Eyes, Wide Nose, Pouty Lips, Prominent Chin, Long Hair, Straight Hair, French Twist, full breasts, , orange velvet lipstick, Green Silk Bralette and Panty Set
Ruthenium, multi-strand necklace, Empress, Short, Slim, Triangular Face, Dark Skin, Dark Brown Hair, Blue Eyes with Green Flecks, Wide Nose, Pouty Lips, Round Chin, Long Hair, Wavy Hair, Viking Braid, perky breasts, Drop earrings, teal stain lipstick, Olive Green Mesh Garter Belt with Stockings
Palladium, bangle bracelet, Madam, Average Height, Narrow Hips, Diamond-Shaped Face, Fair Skin, Golden Blonde Hair, Sapphire Eyes, Long Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Wavy Updo, augmented breasts, Huggie earrings, teal gloss lipstick, Yellow Lace Halter Bralette and Thong Set
Platinum, anklet, Madame, Short, Slim, Square Face, Tan Skin, Dark Brown Hair, silver Eyes, Narrow Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Herringbone Braid, augmented breasts, Huggie earrings, red velvet lipstick, White Sheer Teddy with Lace Trim
Platinum, choker, Countess, Average Height, Lean, Square Face, Olive Skin, Honey Blonde Hair, Brown Eyes, Short Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Long Wavy Hair, augmented breasts, Drop earrings, brown sheer lipstick, Crimson Velvet Cami and Short Set 
Iridium, brooch, Queen, Tall, in shape, Heart-Shaped Face, Tan Skin, Gray Hair, red Eyes, Long Nose, Pouty Lips, Round Chin, Long Hair, Fine Hair, Long Straight Hair, full breasts, Cuff earrings, soft pink gloss lipstick, Purple Velvet Slip with Lace Trim
Tantalum, charm bracelet, Seductress, Short, in shape, Round Face, Fair Skin, Platinum Blonde Hair, ruby Eyes, Straight Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Formal Braided Updo, large breasts, , fuchsia sheer lipstick, Blue Sheer Babydoll with Satin Trim
Beryllium, necklace, Trailblazer, Short, Narrow Hips, Diamond-Shaped Face, Tan Skin, Honey Blonde Hair, pink Eyes, Short Nose, Full Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Donut Bun, firm breasts, Drop earrings, berry metallic lipstick, Black Sheer Teddy with Floral Applique
Silver, pendant, Babe, Average Height, Wide Hips, Square Face, Dark Skin, Honey Blonde Hair, Blue Eyes with Green Flecks, Wide Nose, Thin Lips, Prominent Chin, Long Hair, Coarse Hair, Four-Strand Braid, natural breasts, Stud earrings, coral gloss lipstick, Purple Velvet Robe with Fur Trim 
Gallium, beaded bracelet, Starlet, Short, Slim, Diamond-Shaped Face, Fair Skin, Black Hair, Blue Eyes, Narrow Nose, Thick Lips, Receding Chin, Long Hair, Curly Hair, Sleek Bun, perky breasts, Threader earrings, burgundy matte lipstick, Tan Faux Leather Slip Dress
Indium, collar necklace, Woman, Average Height, Athletic, Diamond-Shaped Face, Dark Skin, Gray Hair, Hazel Eyes with Green Flecks, Narrow Nose, Thick Lips, Prominent Chin, Long Hair, Curly Hair, Curly Afro, soft breasts, Drop earrings, fuchsia stain lipstick, Red Satin Kimono with Lace Sleeve Detail
Iridium, tennis necklace, Madame, Short, Firm, Heart-Shaped Face, Fair Skin, White Hair, aquamarine Eyes, Wide Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Rope Braid, firm breasts, Huggie earrings, fuchsia stain lipstick, Silver Sequin Bralette
Gallium, animal brooch, Phenom, Short, in shape, Diamond-Shaped Face, Fair Skin, Light Brown Hair, Amber Eyes, Narrow Nose, Thick Lips, Receding Chin, Long Hair, Curly Hair, High Chignon, augmented breasts, Dangle earrings, brown cream lipstick, Maroon Satin and Lace Corset 
Platinum, tassel necklace, Songstress, Tall, Skinny, Triangular Face, Tan Skin, Blonde Hair, peach Eyes, Straight Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Voluminous Waves, asymmetrical breasts, , pink cream lipstick, Blue Strappy Bodysuit with Cutouts
Beryllium, beaded necklace, Femme fatale, Tall, Toned, Diamond-Shaped Face, Tan Skin, Gray Hair, ruby Eyes, Narrow Nose, Thin Lips, Sharp Chin, Long Hair, Straight Hair, Side French Braid, perky breasts, Hoop earrings, brown matte lipstick, Green Sequin Slip Dress with Thigh-High Slits
Platinum, friendship bracelet, Baroness, Short, Fit, Oval Face, Dark Skin, Blonde Hair, dark brown Eyes, Short Nose, Full Lips, Receding Chin, Long Hair, Thick Hair, Side-Swept Bangs, asymmetrical breasts, Dangle earrings, rose cream lipstick, Blue Sheer Babydoll with Satin Trim
Osmium, cocktail brooch, Queen, Short, Fit, Diamond-Shaped Face, Fair Skin, Strawberry Blonde Hair, Blue Eyes, Wide Nose, Thin Lips, Round Chin, Long Hair, Curly Hair, Messy Top Knot, full breasts, Stud earrings, teal velvet lipstick, Black Leather Bralette and Panty Set
Ruthenium, choker, Siren, Tall, Skinny, Diamond-Shaped Face, Fair Skin, Strawberry Blonde Hair, brown Eyes, Straight Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Fishtail Braid, asymmetrical breasts, Drop earrings, soft pink velvet lipstick, Blue Strappy Bodysuit with Cutouts
Radium, choker, Female Viking, Average Height, Firm, Heart-Shaped Face, Fair Skin, Light Brown Hair, teal Eyes, Wide Nose, Full Lips, Prominent Chin, Long Hair, Coarse Hair, Side French Braid, firm breasts, Hoop earrings, mauve satin lipstick, Yellow Lace Halter Bralette and Thong Set
Gold, bangle bracelet, Luminary, Short, Firm, Triangular Face, Fair Skin, Platinum Blonde Hair, green Eyes, Wide Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Triple Braided Crown, saggy breasts, Dangle earrings, peach gloss lipstick, Pink Floral Corset
Cadmium, brooch pin, Duchess, Short, Firm, Triangular Face, Dark Skin, White Hair, Hazel Eyes with Green Flecks, Long Nose, Thick Lips, Prominent Chin, Long Hair, Wavy Hair, High Bun, soft breasts, Dangle earrings, lavender matte lipstick, Black Lace Bustier
Iridium, friendship bracelet, Goddess, Average Height, Narrow Hips, Square Face, Dark Skin, Dark Brown Hair, green Eyes, Wide Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Braided Half Up, perky breasts, Hoop earrings, cherry gloss lipstick, Ivory Lace Teddy
Iridium, cuff bracelet, Femme fatale, Short, Athletic, Diamond-Shaped Face, Olive Skin, Black Hair, Blue Eyes with Green Flecks, Straight Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Blunt Bangs, small breasts, Cuff earrings, orange satin lipstick, White Sheer Teddy with Lace Trim
Beryllium, statement necklace, Superwoman, Tall, Thin, Triangular Face, Tan Skin, Blonde Hair, grey Eyes, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Straight Hair, Wavy Layered Bob, firm breasts, Threader earrings, rust sheer lipstick, Yellow Lace Garter Belt 
Rhodium, chain bracelet, Heiress, Average Height, Firm, Oval Face, Tan Skin, Chestnut Hair, ice blue Eyes, Short Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, High Ponytail, augmented breasts, Hoop earrings, berry satin lipstick, Black Lace Bustier
Radium, vintage brooch, Woman, Tall, Slim, Triangular Face, Fair Skin, Black Hair, gold Eyes, Wide Nose, Thin Lips, Round Chin, Long Hair, Fine Hair, Long Straight Hair, round breasts, Threader earrings, green cream lipstick, Green Silk Bralette and Panty Set
Radium, bracelet, Escort, Short, in shape, Triangular Face, Dark Skin, Red Hair, Green Eyes, Short Nose, Full Lips, Sharp Chin, Long Hair, Curly Hair, Afro, perky breasts, Huggie earrings, black stain lipstick, Red Satin Babydoll
Palladium, beaded necklace, Heiress, Average Height, Thin, Heart-Shaped Face, Dark Skin, Platinum Blonde Hair, grey-blue Eyes, Long Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Sleek Straight Hair, asymmetrical breasts, Hoop earrings, cherry sheer lipstick, Red Lace Bra and Panty Set with Garter Belt
Beryllium, chain necklace, Diva, Average Height, Fit, Heart-Shaped Face, Tan Skin, Chestnut Hair, turquoise Eyes, Wide Nose, Full Lips, Prominent Chin, Long Hair, Straight Hair, Braided Half Up, saggy breasts, Hoop earrings, berry gloss lipstick, Plum Satin and Lace Bustier 
Osmium, animal brooch, Artist, Average Height, in shape, Heart-Shaped Face, Tan Skin, Brunette Hair, Brown Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Long Hair, Curly Hair, Ballerina Bun, asymmetrical breasts, Threader earrings, light pink sheer lipstick, Fuchsia Mesh Halter Bra and Panty Set
Radium, beaded necklace, Phenom, Short, Athletic, Diamond-Shaped Face, Dark Skin, Honey Blonde Hair, amber Eyes, Straight Nose, Pouty Lips, Sharp Chin, Long Hair, Straight Hair, Donut Bun, saggy breasts, Threader earrings, rose stain lipstick, Charcoal Sheer Bra and Panty Set
Gallium, beaded bracelet, Madam, Tall, Thin, Diamond-Shaped Face, Tan Skin, Golden Blonde Hair, turquoise Eyes, Long Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Twisted Bun, perky breasts, Hoop earrings, beige metallic lipstick, White Sheer Teddy with Lace Trim
Osmium, anklet, Mistress, Average Height, Firm, Triangular Face, Olive Skin, Silver Hair, light blue Eyes, Narrow Nose, Pouty Lips, Receding Chin, Long Hair, Curly Hair, Beach Waves, full breasts, Cuff earrings, rose satin lipstick, Olive Green Mesh Garter Belt with Stockings
Indium, pearl necklace, Enchantress, Average Height, in shape, Heart-Shaped Face, Tan Skin, Brunette Hair, grey Eyes, Narrow Nose, Full Lips, Round Chin, Long Hair, Wavy Hair, French Braid, full breasts, Faux gauge earrings, mauve velvet lipstick, Red Satin Kimono with Lace Sleeve Detail
Tantalum, pendant, Madam, Short, Narrow Hips, Triangular Face, Fair Skin, Platinum Blonde Hair, peach Eyes, Straight Nose, Thin Lips, Prominent Chin, Long Hair, Straight Hair, Wavy Updo, asymmetrical breasts, Hoop earrings, green stain lipstick, Blue Sheer Babydoll with Satin Trim
Germanium, flower brooch, Duchess, Tall, in shape, Round Face, Tan Skin, Honey Blonde Hair, pink Eyes, Short Nose, Full Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Wavy Updo, soft breasts, Cuff earrings, burgundy matte lipstick, Red Satin Babydoll
Indium, tassel necklace, Dame, Average Height, Skinny, Round Face, Olive Skin, Brunette Hair, purple Eyes, Wide Nose, Thick Lips, Sharp Chin, Long Hair, Wavy Hair, Tousled Waves, firm breasts, Dangle earrings, rust matte lipstick, Red Satin Kimono with Lace Sleeve Detail
Indium, bracelet, Goddess, Short, Firm, Triangular Face, Dark Skin, Strawberry Blonde Hair, Blue Eyes with Green Flecks, Straight Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Wedding Updo, augmented breasts, Dangle earrings, violet metallic lipstick, Charcoal Sheer Bra and Panty Set
Osmium, torc necklace, Female Warrior, Short, in shape, Square Face, Fair Skin, Honey Blonde Hair, yellow Eyes, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Messy Bun, round breasts, Threader earrings, rose cream lipstick, Teal Velvet Chemise with Ruffles 
Gallium, ankle bracelet, Siren, Tall, Athletic, Round Face, Dark Skin, Strawberry Blonde Hair, amethyst Eyes, Straight Nose, Thin Lips, Sharp Chin, Long Hair, Fine Hair, Curly Afro, perky breasts, Huggie earrings, rust metallic lipstick, Blue Strappy Bodysuit with Cutouts
Osmium, locket necklace, Empress, Tall, Firm, Square Face, Olive Skin, Gray Hair, teal Eyes, Straight Nose, Thin Lips, Prominent Chin, Long Hair, Straight Hair, French Twist, soft breasts, Cuff earrings, pink sheer lipstick, White Lace Bralette and Boyshorts Set
Platinum, pendant, Gal, Short, Athletic, Oval Face, Dark Skin, Honey Blonde Hair, pink Eyes, Straight Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Rope Braid, firm breasts, Huggie earrings, berry sheer lipstick, Gold Mesh Bra and Panty Set with Garter Belt
Palladium, cuff bracelet, Female Viking, Average Height, Skinny, Oval Face, Fair Skin, Honey Blonde Hair, ruby Eyes, Narrow Nose, Pouty Lips, Receding Chin, Long Hair, Coarse Hair, High Ponytail, full breasts, , grape cream lipstick, Green Satin and Lace Garter Belt with Matching Thong
Indium, ankle strap, Songstress, Tall, Toned, Round Face, Dark Skin, Dark Brown Hair, red Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Messy Bun, asymmetrical breasts, Hoop earrings, soft pink metallic lipstick, Black Mesh Bodysuit with Embroidered Flowers
Rhenium, locket necklace, Sensation, Tall, Firm, Round Face, Fair Skin, Strawberry Blonde Hair, grey-blue Eyes, Long Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Half Up Half Down, perky breasts, , coral velvet lipstick, Pink Lace Garter Slip with Matching Thong
Osmium, anklet, Dame, Average Height, Thin, Square Face, Dark Skin, Platinum Blonde Hair, Sapphire Eyes, Wide Nose, Thin Lips, Prominent Chin, Long Hair, Curly Hair, Bangs with Highlights, firm breasts, Huggie earrings, rust satin lipstick, Orange Satin Slip
Iridium, ankle cuff, Gal, Average Height, Wide Hips, Oval Face, Olive Skin, Chestnut Hair, red Eyes, Long Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Half Up Half Down, full breasts, Dangle earrings, light pink matte lipstick, Black Mesh Bodysuit with Embroidered Flowers
Ruthenium, slave bracelet, Lady, Short, in shape, Round Face, Olive Skin, Black Hair, aquamarine Eyes, Straight Nose, Thick Lips, Receding Chin, Long Hair, Thick Hair, Side French Braid, natural breasts, , soft pink satin lipstick, Ivory Lace Teddy
Cadmium, cocktail ring, Countess, Average Height, Slim, Diamond-Shaped Face, Fair Skin, Strawberry Blonde Hair, ruby Eyes, Short Nose, Pouty Lips, Prominent Chin, Long Hair, Coarse Hair, Sleek Straight Hair, full breasts, Drop earrings, brown metallic lipstick, White Lace Bralette and Boyshorts Set
Beryllium, brooch pin, Escort, Short, Firm, Oval Face, Olive Skin, Golden Blonde Hair, turquoise Eyes, Wide Nose, Thin Lips, Round Chin, Long Hair, Thick Hair, Tapered Afro, saggy breasts, , red cream lipstick, Purple Velvet Robe with Fur Trim 
Platinum, chain necklace, Babe, Short, Narrow Hips, Heart-Shaped Face, Dark Skin, Honey Blonde Hair, green Eyes, [[Curved Nose]], Thick Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Fluffy Afro, full breasts, Dangle earrings, mauve sheer lipstick, Blue Strappy Bodysuit with Cutouts
Ruthenium, cuff bracelet, Baroness, Average Height, Narrow Hips, Heart-Shaped Face, Dark Skin, Gray Hair, green Eyes, Wide Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Long Curly Hair, perky breasts, Huggie earrings, red satin lipstick, Charcoal Sheer Bra and Panty Set
Gallium, tassel necklace, Gal, Average Height, Toned, Triangular Face, Tan Skin, Gray Hair, brown Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Bob with Bangs, round breasts, Threader earrings, magenta cream lipstick, Charcoal Sheer Bra and Panty Set
Cadmium, ankle strap, Siren, Tall, Thin, Triangular Face, Olive Skin, Blonde Hair, Hazel Eyes, Wide Nose, Full Lips, Round Chin, Long Hair, Fine Hair, Fishtail Braid, round breasts, Clip-on earrings, peach matte lipstick, Silver Silk Bra and Panty Set with Garter Belt
Tantalum, flower brooch, Goddess, Short, Firm, Round Face, Tan Skin, Brunette Hair, Hazel Eyes, Narrow Nose, Thick Lips, Receding Chin, Long Hair, Thick Hair, Middle Part Bangs, augmented breasts, Huggie earrings, berry matte lipstick, Gold Mesh Bra and Panty Set with Garter Belt
Osmium, choker, Empress, Tall, Lean, Oval Face, Olive Skin, Strawberry Blonde Hair, aquamarine Eyes, Long Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Sleek Bun, natural breasts, , magenta stain lipstick, Silver Silk Bra and Panty Set with Garter Belt
Rhenium, bangle bracelet, Lady, Tall, Thin, Square Face, Dark Skin, Platinum Blonde Hair, silver Eyes, Wide Nose, Pouty Lips, Sharp Chin, Long Hair, Curly Hair, Layered Bob, augmented breasts, , peach stain lipstick, Mint Green Mesh Teddy 
Palladium, toggle bracelet, Escort, Average Height, Narrow Hips, Round Face, Olive Skin, Auburn Hair, aquamarine Eyes, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Fine Hair, Sock Bun, full breasts, Hoop earrings, lavender metallic lipstick, White Satin and Lace Bra and Panty Set
Indium, vintage brooch, Starlet, Tall, Thin, Triangular Face, Olive Skin, Light Brown Hair, silver Eyes, [[Curved Nose]], Full Lips, Prominent Chin, Long Hair, Curly Hair, Donut Bun, saggy breasts, , hot pink metallic lipstick, Yellow Lace Garter Belt 
Radium, multi-strand necklace, Woman, Tall, Athletic, Heart-Shaped Face, Olive Skin, White Hair, Hazel Eyes, Long Nose, Pouty Lips, Sharp Chin, Long Hair, Coarse Hair, Fishtail Crown Braid, round breasts, Stud earrings, hot pink sheer lipstick, Yellow Lace Halter Bralette and Thong Set
Osmium, friendship bracelet, Phenom, Tall, Thin, Round Face, Olive Skin, Honey Blonde Hair, peach Eyes, Wide Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Loose Curls, natural breasts, Cuff earrings, black sheer lipstick, Black Leather Bralette and Panty Set
Tantalum, animal brooch, Songstress, Short, Wide Hips, Round Face, Tan Skin, Dark Brown Hair, grey Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Curly Hair, Viking Braid, asymmetrical breasts, Stud earrings, orange cream lipstick, Turquoise Sheer Chemise with Cutouts
Platinum, beaded necklace, Femme fatale, Tall, in shape, Oval Face, Dark Skin, White Hair, ruby Eyes, Straight Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Beach Waves, soft breasts, Stud earrings, teal matte lipstick, Ivory Lace Teddy
Palladium, torc necklace, Belle, Average Height, Firm, Triangular Face, Olive Skin, Strawberry Blonde Hair, Brown Eyes with Green Flecks, Short Nose, Full Lips, Receding Chin, Long Hair, Thick Hair, Messy Bun, perky breasts, Faux gauge earrings, burgundy velvet lipstick, Green Sequin Slip Dress with Thigh-High Slits
Palladium, tennis necklace, Woman, Tall, Fit, Round Face, Fair Skin, Silver Hair, grey-blue Eyes, Long Nose, Thick Lips, Receding Chin, Long Hair, Fine Hair, Ballerina Bun, saggy breasts, Drop earrings, brown gloss lipstick, Black Mesh Bodysuit with Embroidered Flowers
Platinum, tennis bracelet, Goddess, Average Height, Thin, Triangular Face, Fair Skin, Red Hair, silver Eyes, [[Curved Nose]], Full Lips, Round Chin, Long Hair, Fine Hair, Braided Updo, augmented breasts, Huggie earrings, peach stain lipstick, Black Sheer Teddy with Floral Applique
